タイトル,著者,値段(円)
きたきた捕物帖,宮部みゆき,"1,760"
流浪の月,凪良 ゆう,"1,650"
カケラ,湊 かなえ,"1,650"
逆ソクラテス,伊坂 幸太郎,"1,540"
路,吉田 修一,792
クスノキの番人,東野圭吾,"1,980"
大河の一滴,五木 寛之,"1,572"
ｍｅｄｉｕｍ 霊媒探偵城塚翡翠,相沢沙呼,"1,870"
わたしの美しい庭,凪良ゆう,"1,650"
流人道中記 下,浅田次郎,"1,870"
流人道中記 上,浅田次郎,"1,870"
任俠シネマ,今野敏,"1,650"
マックス・ヴェーバー 主体的人間の悲喜劇,今野元,946
暴虎の牙,柚月裕子,"1,980"
糸,林 民夫,638
ライオンのおやつ,小川糸,"1,650"
熱源,川越 宗一,"2,035"
縄紋,真梨幸子,"1,760"
奈落で踊れ,月村了衛,"2,090"
月の客,山下澄人,"1,870"
カインの傲慢,中山七里,"1,760"
じんかん,今村翔吾,"2,090"
星に仄めかされて,多和田葉子,"1,980"
業平 小説伊勢物語,髙樹のぶ子,"2,420"
タイタン,野崎まど,"1,980"
タイトル,著者,値段(円)
〈あの絵〉のまえで Ａ Ｐｉｅｃｅ ｏｆ Ｙｏｕｒ Ｌｉｆｅ,原田マハ,"1,540"
むかしむかしあるところに、死体がありました。,青柳碧人,"1,430"
黙,辻堂魁,"1,870"
ディア・ペイシェント 絆のカルテ,南杏子,660
Ｃｏｃｏｏｎ ４ 宿縁の大樹,夏原エヰジ,"1,540"
イエロー・サブマリン,小路幸也,"1,650"
発注いただきました！,朝井 リョウ,"1,760"
春、死なん,紗倉まな,"1,540"
護られなかった者たちへ,中山七里,"1,760"
かがみの孤城,辻村深月,"1,980"
いのちの停車場,南杏子,"1,760"
ハンナのいない１０月は,相川英輔,"1,760"
ヒソップ亭 湯けむり食事処,秋川滝美,"1,650"
あの日の交換日記,辻堂 ゆめ,"1,760"
透明な夜の香り,千早 茜,"1,650"
店長がバカすぎて,早見和真,"1,650"
生かさず、殺さず,久坂部羊,"1,870"
家族じまい,桜木紫乃,"1,760"
語らいサンドイッチ,谷瑞恵,"1,650"
濱地健三郎の幽たる事件簿,有栖川有栖,"1,870"
江戸の夢びらき,松井今朝子,"2,090"
焦眉,今野敏,"1,760"
北条氏康 １ 二世継承篇,富樫倫太郎,"1,760"
イマジン？,有川 ひろ,"1,760"
タイトル,著者,値段(円)
知の旅は終わらない 僕が３万冊を読み１００冊を書いて考えてきたこと,立花隆,"1,045"
魔眼の匣の殺人,今村昌弘,"1,870"
不良,北野武,"1,650"
黒き侍、ヤスケ 信長に忠義を尽くした元南蛮奴隷の数奇な半生,浅倉 徹,"2,090"
妖の掟,誉田哲也,"1,870"
５２ヘルツのクジラたち,町田そのこ,"1,760"
逃亡者,中村文則,"1,870"
魔女たちは眠りを守る,村山早紀,"1,760"
よこどり 小説メガバンク人事抗争,小野展克,"1,760"
罪人の選択,貴志祐介,"1,760"
チンギス紀 ７ 虎落,北方謙三,"1,760"
大親分！ アウトレイジな懲りない面々,北野武,858
去年の雪,江國香織,"1,760"
ムゲンのｉ 上,知念実希人,"1,540"
ノーサイド・ゲーム,池井戸 潤,"1,760"
麦本三歩の好きなもの,住野よる,"1,540"
賢者の弟子を名乗る賢者 13,りゅうせんひろつぐ,"1,100"
食っちゃ寝て書いて,小野寺史宜,"1,870"
新任警視,古野まほろ,"2,860"
持続可能な魂の利用,松田 青子,"1,650"
流星シネマ,吉田篤弘,"1,760"
少年と犬,馳星周,"1,760"
告解,薬丸岳,"1,815"
心にいつも猫をかかえて,村山 早紀,"1,760"
「あの人」のこと,久世光彦,"1,870"
タイトル,著者,値段(円)
ＭＩＳＳＩＮＧ 失われているもの,村上龍,"1,650"
掟上今日子の設計図,西尾維新,"1,430"
十字架のカルテ ＴＨＥ ＰＳＹＣＨＩＡＴＲＩＳＴ,知念実希人,"1,540"
綴る女 評伝・宮尾登美子,林真理子,"1,650"
清明,今野敏,"1,760"
誰も見ていない書斎の松本清張,櫻井 秀勲,"1,650"
ムゲンのｉ 下,知念実希人,"1,540"
介錯人,辻堂魁,"1,870"
沈黙のＷｅｂマーケティング Ｗｅｂマーケッターボーンの逆襲 ディレクターズ・エディション,松尾 茂起,"2,420"
あの頃ぼくらはアホでした,東野 圭吾,616
たかが殺人じゃないか 昭和２４年の推理小説,辻真先,"2,420"
銀色の国,逸木裕,"1,870"
天皇論 江藤淳と三島由紀夫,富岡幸一郎,"2,420"
水を縫う,寺地 はるな,"1,760"
四季の創造 日本文化と自然観の系譜,ハルオ・シラネ,"2,200"
殿、それでは戦国武将のお話をいたしましょう 貝原益軒の歴史夜話,山崎光夫,"1,870"
カケラ,湊　かなえ,"1,650"
おおきな森,古川日出男,"4,400"
透明人間は密室に潜む,阿津川辰海,"1,980"
四神の旗,馳星周,"1,870"
山月記,中島 敦,"1,980"
変貌する古事記・日本書紀 いかに読まれ、語られたのか,及川智早,880
燃えよ剣 新装版,司馬遼太郎,"1,540"
木になった亜沙,今村夏子,"1,320"
怖い患者,久坂部 羊,"1,760"
タイトル,著者,値段(円)
アーモンド,ソン ウォンピョン,"1,760"
すべての瞬間が君だった きらきら輝いていた僕たちの時間,ハ テワン,"1,540"
月の光 現代中国ＳＦアンソロジー,ケン・リュウ,"2,420"
小説版韓国・フェミニズム・日本,イ・ラン,"1,980"
三体,劉 慈欣,"2,090"
保健室のアン・ウニョン先生,チョン・セラン,"1,760"
８２年生まれ、キム・ジヨン,チョ ナムジュ,"1,650"
千一夜物語 ガラン版 ６,西尾哲夫,"3,850"
わたしの名は赤 新訳版 上,オルハン・パムク,"1,100"
三体２　黒暗森林 上,劉慈欣,"1,870"
マハーバーラタ、聖性と戦闘と豊穣,沖田 瑞穂,"3,850"
千一夜物語 ガラン版 ５,西尾哲夫,"3,850"
言葉の温度,イ・ギジュ,"1,870"
わたしの名は赤 新訳版 下,オルハン・パムク,"1,100"
菜食主義者,ハン ガン,"2,420"
史記 現代語訳,司馬 遷,902
十八史略,竹内 弘行,"1,837"
三体２　黒暗森林 下,劉慈欣,"1,870"
中央駅,キム・ヘジン,"1,650"
遠足,チョン ソンテ,"1,320"
完訳論語,孔子,"3,080"
南宋の文人と出版文化 王十朋と陸游をめぐって,甲斐 雄一,"3,960"
文選〈文章篇〉,蕭 統,"1,100"
ルバイヤート 中世ペルシアで生まれた四行詩集,オマル・ハイヤーム,"1,980"
中国の思想 第３版 １ 韓非子,松枝 茂夫,"2,456"
タイトル,著者,値段(円)
コロナの時代の僕ら,パオロ・ジョルダーノ,"1,430"
チーズはどこへ消えた？,スペンサー・ジョンソン,922
あの本は読まれているか,ラーラ・プレスコット,"1,980"
ペスト 改版,ダニエル・デフォー,"1,320"
夜と霧 新版,ヴィクトール・Ｅ．フランクル,"1,650"
ザリガニの鳴くところ,ディーリア・オーエンズ,"2,090"
バスティーユの悪魔,エミール・ガボリオ,"2,860"
仕事は楽しいかね？ １,デイル・ドーテン,"1,430"
迷路の外には何がある？ 『チーズはどこへ消えた？』その後の物語,スペンサー・ジョンソン,"1,100"
アンドロメダ病原体−変異− 上,マイクル・クライトン,"1,980"
フライデー・ブラック,ナナ・クワメ・アジェイ＝ブレニヤー,"2,420"
ライフ・アフター・ライフ,ケイト・アトキンソン,"3,960"
サンセット・パーク,ポール・オースター,"2,420"
血まみれ鉄拳ハイスクール,ライアン・ギャティス,"2,200"
アンドロメダ病原体−変異− 下,マイクル・クライトン,"1,980"
空のあらゆる鳥を,チャーリー・ジェーン・アンダーズ,"2,640"
おおきな木,シェル・シルヴァスタイン,"1,320"
頂きはどこにある？,スペンサー・ジョンソン,"1,026"
春にして君を離れ,アガサ・クリスティー,748
メソポタミヤの殺人,アガサ・クリスティー,902
アクロイド殺し,アガサ・クリスティー,902
ＡＢＣ殺人事件,アガサ・クリスティー,880
ＦＢＩ心理分析官 １ 異常殺人者たちの素顔に迫る衝撃の手記,ロバート・Ｋ．レスラー,880
空腹ねずみと満腹ねずみ 上,ティムール・ヴェルメシュ,"2,090"
友だち,シーグリッド・ヌーネス,"2,200"
タイトル,著者,値段(円)
シャーロック・ホームズの冒険,コナン・ドイル,660
掃除婦のための手引き書 ルシア・ベルリン作品集,ルシア・ベルリン,"2,420"
ある一生,ローベルト・ゼーターラー,"1,870"
ラヴクラフト全集３,Ｈ・Ｐ・ラヴクラフト (著),597
ゴルフ場殺人事件,アガサ・クリスティー,924
時計じかけのオレンジ 完全版,アントニイ・バージェス,814
少年少女 改版,アナトール・フランス,440
グレート・ギャツビー,スコット・フィッツジェラルド,"1,100"
カラマーゾフの兄弟 １,ドストエフスキー,796
ナイルに死す,アガサ・クリスティー,"1,078"
時の娘,ジョセフィン・テイ,880
空腹ねずみと満腹ねずみ 下,ティムール・ヴェルメシュ,"2,090"
蜜のように甘く,イーディス・パールマン,"2,200"
ヒルダ・アダムスの事件簿,M・R・ラインハート,"2,420"
オルガ,ベルンハルト・シュリンク,"2,200"
イエスの学校時代,Ｊ・Ｍ・クッツェー,"2,530"
女同士の絆 レズビアン文学の行方,平林美都子,"2,750"
おちび,エドワード・ケアリー,"4,400"
物語北欧神話 下,ニール・ゲイマン,"1,760"
物語北欧神話 上,ニール・ゲイマン,"1,760"
来るべき種族,エドワード・ブルワー=リットン,"2,640"
シャーロック・ホームズ大図鑑,デイヴィッド・スチュアート・デイヴィーズ,"4,620"
ハリネズミの願い,トーン・テレヘン,"1,430"
肩をすくめるアトラス 第２部 二者択一,アイン・ランド,"2,090"
タイトル,著者,値段(円)
星を継ぐもの,ジェイムズ・Ｐ・ホーガン,763
ＳＦ的な宇宙で安全に暮らすっていうこと,チャールズ・ユウ,"1,760"
異形再生 付『絶滅動物図録』,エリック・ハズペス,"3,520"
オトラント城,ホレス・ウォルポール,"3,520"
チェルノブイリの祈り 未来の物語,スベトラーナ・アレクシエービッチ,"1,254"
失われた時を求めて ２ スワン家のほうへ ２,プルースト,"1,034"
四人の署名【阿部知二訳】,コナン・ドイル (著),330
緋色の研究【阿部知二訳】,コナン・ドイル (著),330
